animal_id,name,datetime,intake_type,intake_condition,animal_type,sex_upon_intake,age_upon_intake,breed,color
A920870,*Jinxy,01/06/2025 11:25:00 AM,Stray,Normal,Dog,Intact Male,1 year,American Pit Bull Terrier,Blue/White
A920925,Catero,01/06/2025 07:14:00 PM,Public Assist,Normal,Dog,Neutered Male,3 years,Australian Cattle Dog,Tan/Black
A921065,Rangi,01/09/2025 01:15:00 PM,Owner Surrender,Normal,Dog,Intact Female,1 year,Siberian Husky/Labrador Retriever,Tricolor
A921069,*Bella Boo,01/09/2025 03:19:00 PM,Stray,Normal,Dog,Intact Female,2 years,Catahoula Mix,Black Brindle/Brown
A882803,Lady,01/10/2025 05:36:00 PM,Owner Surrender,Injured,Dog,Intact Female,2 years,Black Mouth Cur Mix,Tan/Black
A921336,Roxy,01/14/2025 03:58:00 PM,Owner Surrender,Normal,Dog,Intact Female,5 years,American Pit Bull Terrier Mix,Tan
A921416,*Nutmeg,01/15/2025 07:41:00 AM,Stray,Injured,Dog,Intact Female,1 year,Australian Shepherd Mix,Brown/Black
A921405,Shinzo,01/15/2025 12:45:00 PM,Owner Surrender,Normal,Dog,Neutered Male,4 years,English Pointer,Black/White
A921288,*Ella,01/16/2025 11:18:00 AM,Stray,Normal,Dog,Intact Female,2 years,Pit Bull,Brown/White
A921476,*Juno,01/16/2025 02:22:00 PM,Stray,Injured,Dog,Intact Female,2 years,Doberman Pinsch Mix,Black/Brown
A921491,*Loretta,01/16/2025 05:10:00 PM,Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix,Brown/White
A921495,*Baloo,01/17/2025 08:23:00 AM,Stray,Injured,Cat,Intact Male,1 year,Domestic Shorthair,Black/White
A871316,Milo,01/17/2025 11:02:00 AM,Owner Surrender,Normal,Dog,Intact Male,3 years,Siberian Husky,White/Black
A921556,*Casper,01/17/2025 12:16:00 PM,Stray,Normal,Cat,Intact Female,3 months,Domestic Shorthair,Brown Tabby/White
A921559,Draco,01/17/2025 12:19:00 PM,Owner Surrender,Normal,Dog,Intact Male,10 months,Labrador Retriever Mix,Black/White
A921588,*Lola,01/17/2025 02:11:00 PM,Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Tan/White
A921620,Jethro,01/17/2025 11:08:00 PM,Stray,Med Attn,Dog,Neutered Male,7 years,Pit Bull,Black
A817114,Deebo,01/20/2025 03:04:00 AM,Abandoned,Normal,Dog,Intact Male,6 years,Pit Bull,Blue/White
A921734,Oslo,01/20/2025 01:12:00 PM,Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Tan/White
A921886,Juniper,01/22/2025 03:04:00 PM,Owner Surrender,Normal,Cat,Spayed Female,7 years,Domestic Shorthair,Blue Tabby
A921915,*Chestnut,01/23/2025 11:13:00 AM,Public Assist,Sick,Dog,Intact Male,2 years,American Pit Bull Terrier,Tan
A921857,*Lulu,01/23/2025 03:22:00 PM,Stray,Normal,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/White
A921967,*Marco,01/23/2025 04:44:00 PM,Stray,Injured,Cat,Intact Male,2 years,Domestic Shorthair,Brown Tabby/White
A922269,*Magnum,01/26/2025 02:49:00 PM,Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,Black/White
A922530,*Scooby,01/28/2025 10:28:00 AM,Abandoned,Normal,Dog,Neutered Male,2 years,Rhod Ridgeback,Brown/Black
A922609,Hams,01/28/2025 01:58:00 PM,Stray,Normal,Dog,Intact Male,2 years,Pit Bull,Brown/White
A876070,Sid,01/28/2025 02:20:00 PM,Stray,Normal,Dog,Intact Male,5 years,Anatol Shepherd,White/Brown
